v_rid,name,addr,lat,lng,dc_score,status,g_place_id,g_name,g_addr,g_maps_url,g_lat,g_lng,name_sim,dist_m,match_score
VDsgSbgxFvTY,더로스터리,서울특별시 서대문구 모래내로15길 58,37.5741609,126.9192435,25,not_found,ChIJE0rMXdeZfDUR8Po_UA8dqCE,에스페란자 로스터즈,서울특별시 서대문구 증가로4길 58-15,https://maps.google.com/?cid=2425220350947097328&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5774566,126.92870070000001,0.0,910.4,0.0
x5X9Cme0KpBD,더비젬,세종특별자치시 연서면 당산로 493 1층 101호,36.5741133,127.2903641,25,not_found,,,,,,,0,,0
RcCN482lkWfQ,더원트커피,경상북도 경산시 삼풍로 10 1층,35.8214834,128.7547666,25,not_found,ChIJVVXFWR4MZjURInezEHdPjyw,Conte 꽁뜨,경상북도 경산시 삼풍로 19 1층 506,https://maps.google.com/?cid=3210872432138352418&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.822423,128.75501889999998,0.0,106.9,0.15
bqmJb95ajpgK,데메테르커피로스터스,경상북도 경주시 양남면 해변공원길 99,35.6772142,129.4631905,25,not_found,ChIJkd2aZK63ZzURgNkYuX-yf5w,35mm,경상북도 경주시 양남면 하서리 산70-2,https://maps.google.com/?cid=11276928253595015552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.681765999999996,129.4632574,0.0,506.2,0.0
OfbYMFWZqsuN,동진스카이라운지,강원도 속초시 번영로 170,38.213526,128.590025,25,not_found,,,,,,,0,,0
XSptfx7AaLYl,드립앤트립,부산광역시 연제구 연동로13번길 19 1층 드립앤트립,35.1876279,129.0942246,25,not_found,ChIJkWYzOQmTaDURonVT7OiwUuo,리드헬스&PT&필라테스 연산점,부산광역시 내 리드헬스 302~303호 KR 부산광역시 연제구 고분로13번길 25 한창타워 3층,https://maps.google.com/?cid=16884752467409204642&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.1871681,129.0844717,0.0,887.8,0.0
W0a3teQzCf7n,떼루아커피,경상남도 창원시 의창구 의안로31번길 15 1층,35.2644056,128.6222501,25,not_found,ChIJH1UwVFszbzURoaDcPRyGFaM,Cafe,경상남도 창원시 의창구 도계동 342-4,https://maps.google.com/?cid=11751446258548252833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.259174,128.6374481,0.0,1497.5,0.0
UGSvwFOtfVsj,라뽈리스로스터스,울산광역시 중구 화진5길 42,35.5551542,129.3053362,25,not_found,ChIJceagXCUzZjUR3n5HpRKFGEQ,러프로스터스,울산광역시 중구 태화동 태화로 263,https://maps.google.com/?cid=4906818109148987102&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.5537965,129.3031069,0.0,251.9,0.05
2WbUYgtHY63i,라트로스터스,서울특별시 노원구 중계로14바길 9 102호,37.6500294,127.0829334,25,not_found,,,,,,,0,,0
mPziiYipY981,랑삼,"경상남도 김해시 김해대로2385번길 25 . 1층(부원동, 해강오피스텔)",35.2291607,128.8873062,25,not_found,,,,,,,0,,0
